A00	Cholera
C81.14	Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of axilla and upper limb
C81.15	Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C81.16	Nodular sclerosis classical Hodgkin lymphoma, intrapelvic lymph nodes
C81.17	Nodular sclerosis classical Hodgkin lymphoma, spleen
C81.18	Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of multiple sites
C81.19	Nodular sclerosis classical Hodgkin lymphoma, extranodal and solid organ sites
C81.2	Mixed cellularity classical Hodgkin lymphoma
C81.20	Mixed cellularity classical Hodgkin lymphoma, unspecified site
C81.21	Mixed cellularity classical Hodgkin lymphoma, lymph nodes of head, face, and neck
C81.22	Mixed cellularity classical Hodgkin lymphoma, intrathoracic lymph nodes
C81.23	Mixed cellularity classical Hodgkin lymphoma, intra-abdominal lymph nodes
C81.24	Mixed cellularity classical Hodgkin lymphoma, lymph nodes of axilla and upper limb
C81.25	Mixed cellularity classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C81.26	Mixed cellularity classical Hodgkin lymphoma, intrapelvic lymph nodes
C81.27	Mixed cellularity classical Hodgkin lymphoma, spleen
C81.28	Mixed cellularity classical Hodgkin lymphoma, lymph nodes of multiple sites
C81.29	Mixed cellularity classical Hodgkin lymphoma, extranodal and solid organ sites
C81.3	Lymphocyte depleted classical Hodgkin lymphoma
C81.30	Lymphocyte depleted classical Hodgkin lymphoma, unspecified site
C81.31	Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of head, face, and neck
C81.32	Lymphocyte depleted classical Hodgkin lymphoma, intrathoracic lymph nodes
C81.33	Lymphocyte depleted classical Hodgkin lymphoma, intra-abdominal lymph nodes
C81.34	Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of axilla and upper limb
C81.35	Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C81.36	Lymphocyte depleted classical Hodgkin lymphoma, intrapelvic lymph nodes
C81.37	Lymphocyte depleted classical Hodgkin lymphoma, spleen
C81.38	Lymphocyte depleted classical Hodgkin lymphoma, lymph nodes of multiple sites
C81.39	Lymphocyte depleted classical Hodgkin lymphoma, extranodal and solid organ sites
C81.4	Lymphocyte-rich classical Hodgkin lymphoma
C81.40	Lymphocyte-rich classical Hodgkin lymphoma, unspecified site
C81.41	Lymphocyte-rich classical Hodgkin lymphoma, lymph nodes of head, face, and neck
C81.42	Lymphocyte-rich classical Hodgkin lymphoma, intrathoracic lymph nodes
C81.43	Lymphocyte-rich classical Hodgkin lymphoma, intra-abdominal lymph nodes
C81.44	Lymphocyte-rich classical Hodgkin lymphoma, lymph nodes of axilla and upper limb
C81.45	Lymphocyte-rich classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C81.46	Lymphocyte-rich classical Hodgkin lymphoma, intrapelvic lymph nodes
C81.47	Lymphocyte-rich classical Hodgkin lymphoma, spleen
C81.48	Lymphocyte-rich classical Hodgkin lymphoma, lymph nodes of multiple sites
C81.49	Lymphocyte-rich classical Hodgkin lymphoma, extranodal and solid organ sites
C81.7	Other classical Hodgkin lymphoma
C81.70	Other classical Hodgkin lymphoma, unspecified site
C81.71	Other classical Hodgkin lymphoma, lymph nodes of head, face, and neck
C81.72	Other classical Hodgkin lymphoma, intrathoracic lymph nodes
C81.73	Other classical Hodgkin lymphoma, intra-abdominal lymph nodes
C81.74	Other classical Hodgkin lymphoma, lymph nodes of axilla and upper limb
C81.75	Other classical Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C81.76	Other classical Hodgkin lymphoma, intrapelvic lymph nodes
C81.77	Other classical Hodgkin lymphoma, spleen
C81.78	Other classical Hodgkin lymphoma, lymph nodes of multiple sites
C81.79	Other classical Hodgkin lymphoma, extranodal and solid organ sites
C81.9	Hodgkin lymphoma, unspecified
C81.90	Hodgkin lymphoma, unspecified, unspecified site
C81.91	Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
C81.92	Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
C81.93	Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
C81.94	Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
C81.95	Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C81.96	Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
C81.97	Hodgkin lymphoma, unspecified, spleen
C81.98	Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
C81.99	Hodgkin lymphoma, unspecified, extranodal and solid organ sites
C82	Follicular lymphoma
C82.0	Follicular lymphoma grade I
C82.00	Follicular lymphoma grade I, unspecified site
C82.01	Follicular lymphoma grade I, lymph nodes of head, face, and neck
C82.02	Follicular lymphoma grade I, intrathoracic lymph nodes
C82.03	Follicular lymphoma grade I, intra-abdominal lymph nodes
C82.04	Follicular lymphoma grade I, lymph nodes of axilla and upper limb
C82.05	Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb
C82.06	Follicular lymphoma grade I, intrapelvic lymph nodes
C82.07	Follicular lymphoma grade I, spleen
C82.08	Follicular lymphoma grade I, lymph nodes of multiple sites
C82.09	Follicular lymphoma grade I, extranodal and solid organ sites
C82.1	Follicular lymphoma grade II
C82.10	Follicular lymphoma grade II, unspecified site
C82.11	Follicular lymphoma grade II, lymph nodes of head, face, and neck
C82.12	Follicular lymphoma grade II, intrathoracic lymph nodes
C82.13	Follicular lymphoma grade II, intra-abdominal lymph nodes
C82.14	Follicular lymphoma grade II, lymph nodes of axilla and upper limb
C82.15	Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb
C82.16	Follicular lymphoma grade II, intrapelvic lymph nodes
C82.17	Follicular lymphoma grade II, spleen
C82.18	Follicular lymphoma grade II, lymph nodes of multiple sites
C82.19	Follicular lymphoma grade II, extranodal and solid organ sites
C82.2	Follicular lymphoma grade III, unspecified
C82.20	Follicular lymphoma grade III, unspecified, unspecified site
C82.21	Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck
C82.22	Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes
C82.23	Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes
C82.24	Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb
C82.25	Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb
C82.26	Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes
C82.27	Follicular lymphoma grade III, unspecified, spleen
C82.28	Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites
C82.29	Follicular lymphoma grade III, unspecified, extranodal and solid organ sites
C82.3	Follicular lymphoma grade IIIa
C82.30	Follicular lymphoma grade IIIa, unspecified site
C82.31	Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck
C82.32	Follicular lymphoma grade IIIa, intrathoracic lymph nodes
C82.33	Follicular lymphoma grade IIIa, intra-abdominal lymph nodes
C82.34	Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb
C82.35	Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb
C82.36	Follicular lymphoma grade IIIa, intrapelvic lymph nodes
C82.37	Follicular lymphoma grade IIIa, spleen
C82.38	Follicular lymphoma grade IIIa, lymph nodes of multiple sites
C82.39	Follicular lymphoma grade IIIa, extranodal and solid organ sites
C82.4	Follicular lymphoma grade IIIb
C82.40	Follicular lymphoma grade IIIb, unspecified site
C82.41	Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck
C82.42	Follicular lymphoma grade IIIb, intrathoracic lymph nodes
C82.43	Follicular lymphoma grade IIIb, intra-abdominal lymph nodes
C82.44	Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb
C82.45	Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb
C82.46	Follicular lymphoma grade IIIb, intrapelvic lymph nodes
C82.47	Follicular lymphoma grade IIIb, spleen
C82.48	Follicular lymphoma grade IIIb, lymph nodes of multiple sites
C82.49	Follicular lymphoma grade IIIb, extranodal and solid organ sites
C82.5	Diffuse follicle center lymphoma
C82.50	Diffuse follicle center lymphoma, unspecified site
C82.51	Diffuse follicle center lymphoma, lymph nodes of head, face, and neck
C82.52	Diffuse follicle center lymphoma, intrathoracic lymph nodes
C82.53	Diffuse follicle center lymphoma, intra-abdominal lymph nodes
C82.54	Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb
C82.55	Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb
C82.56	Diffuse follicle center lymphoma, intrapelvic lymph nodes
C82.57	Diffuse follicle center lymphoma, spleen
C82.58	Diffuse follicle center lymphoma, lymph nodes of multiple sites
C82.59	Diffuse follicle center lymphoma, extranodal and solid organ sites
C82.6	Cutaneous follicle center lymphoma
C82.60	Cutaneous follicle center lymphoma, unspecified site
C82.61	Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck
C82.62	Cutaneous follicle center lymphoma, intrathoracic lymph nodes
C82.63	Cutaneous follicle center lymphoma, intra-abdominal lymph nodes
C82.64	Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb
C82.65	Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb
C82.66	Cutaneous follicle center lymphoma, intrapelvic lymph nodes
C82.67	Cutaneous follicle center lymphoma, spleen
C82.68	Cutaneous follicle center lymphoma, lymph nodes of multiple sites
C82.69	Cutaneous follicle center lymphoma, extranodal and solid organ sites
C82.8	Other types of follicular lymphoma
C82.80	Other types of follicular lymphoma, unspecified site
C82.81	Other types of follicular lymphoma, lymph nodes of head, face, and neck
C82.82	Other types of follicular lymphoma, intrathoracic lymph nodes
C82.83	Other types of follicular lymphoma, intra-abdominal lymph nodes
C82.84	Other types of follicular lymphoma, lymph nodes of axilla and upper limb
C82.85	Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb
C82.86	Other types of follicular lymphoma, intrapelvic lymph nodes
C82.87	Other types of follicular lymphoma, spleen
C82.88	Other types of follicular lymphoma, lymph nodes of multiple sites
C82.89	Other types of follicular lymphoma, extranodal and solid organ sites
C82.9	Follicular lymphoma, unspecified
C82.90	Follicular lymphoma, unspecified, unspecified site
C82.91	Follicular lymphoma, unspecified, lymph nodes of head, face, and neck
C82.92	Follicular lymphoma, unspecified, intrathoracic lymph nodes
C82.93	Follicular lymphoma, unspecified, intra-abdominal lymph nodes
C82.94	Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb
C82.95	Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C82.96	Follicular lymphoma, unspecified, intrapelvic lymph nodes
C82.97	Follicular lymphoma, unspecified, spleen
C82.98	Follicular lymphoma, unspecified, lymph nodes of multiple sites
C82.99	Follicular lymphoma, unspecified, extranodal and solid organ sites
C83	Non-follicular lymphoma
C83.0	Small cell B-cell lymphoma
C83.00	Small cell B-cell lymphoma, unspecified site
C83.01	Small cell B-cell lymphoma, lymph nodes of head, face, and neck
C83.02	Small cell B-cell lymphoma, intrathoracic lymph nodes
C83.03	Small cell B-cell lymphoma, intra-abdominal lymph nodes
C83.04	Small cell B-cell lymphoma, lymph nodes of axilla and upper limb
C83.05	Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb
C83.06	Small cell B-cell lymphoma, intrapelvic lymph nodes
C83.07	Small cell B-cell lymphoma, spleen
C83.08	Small cell B-cell lymphoma, lymph nodes of multiple sites
C83.09	Small cell B-cell lymphoma, extranodal and solid organ sites
C83.1	Mantle cell lymphoma
C83.10	Mantle cell lymphoma, unspecified site
C83.11	Mantle cell lymphoma, lymph nodes of head, face, and neck
C83.12	Mantle cell lymphoma, intrathoracic lymph nodes
C83.13	Mantle cell lymphoma, intra-abdominal lymph nodes
C83.14	Mantle cell lymphoma, lymph nodes of axilla and upper limb
C83.15	Mantle cell lymphoma, lymph nodes of inguinal region and lower limb
C83.16	Mantle cell lymphoma, intrapelvic lymph nodes
C83.17	Mantle cell lymphoma, spleen
C83.18	Mantle cell lymphoma, lymph nodes of multiple sites
C83.19	Mantle cell lymphoma, extranodal and solid organ sites
C83.3	Diffuse large B-cell lymphoma
C83.30	Diffuse large B-cell lymphoma, unspecified site
C83.31	Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck
C83.32	Diffuse large B-cell lymphoma, intrathoracic lymph nodes
C83.33	Diffuse large B-cell lymphoma, intra-abdominal lymph nodes
C83.34	Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb
C83.35	Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb
C83.36	Diffuse large B-cell lymphoma, intrapelvic lymph nodes
C83.37	Diffuse large B-cell lymphoma, spleen
C83.38	Diffuse large B-cell lymphoma, lymph nodes of multiple sites
C83.39	Diffuse large B-cell lymphoma, extranodal and solid organ sites
C83.5	Lymphoblastic (diffuse) lymphoma
C83.50	Lymphoblastic (diffuse) lymphoma, unspecified site
C83.51	Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck
C83.52	Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes
C83.53	Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes
C83.54	Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb
C83.55	Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb
C83.56	Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes
C83.57	Lymphoblastic (diffuse) lymphoma, spleen
C83.58	Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites
C83.59	Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites
C83.7	Burkitt lymphoma
C83.70	Burkitt lymphoma, unspecified site
C83.71	Burkitt lymphoma, lymph nodes of head, face, and neck
C83.72	Burkitt lymphoma, intrathoracic lymph nodes
C83.73	Burkitt lymphoma, intra-abdominal lymph nodes
C83.74	Burkitt lymphoma, lymph nodes of axilla and upper limb
C83.75	Burkitt lymphoma, lymph nodes of inguinal region and lower limb
C83.76	Burkitt lymphoma, intrapelvic lymph nodes
C83.77	Burkitt lymphoma, spleen
C83.78	Burkitt lymphoma, lymph nodes of multiple sites
C83.79	Burkitt lymphoma, extranodal and solid organ sites
C83.8	Other non-follicular lymphoma
C83.80	Other non-follicular lymphoma, unspecified site
C83.81	Other non-follicular lymphoma, lymph nodes of head, face, and neck
C83.82	Other non-follicular lymphoma, intrathoracic lymph nodes
C83.83	Other non-follicular lymphoma, intra-abdominal lymph nodes
C83.84	Other non-follicular lymphoma, lymph nodes of axilla and upper limb
C83.85	Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb
C83.86	Other non-follicular lymphoma, intrapelvic lymph nodes
C83.87	Other non-follicular lymphoma, spleen
C83.88	Other non-follicular lymphoma, lymph nodes of multiple sites
C83.89	Other non-follicular lymphoma, extranodal and solid organ sites
C83.9	Non-follicular (diffuse) lymphoma, unspecified
C83.90	Non-follicular (diffuse) lymphoma, unspecified, unspecified site
C83.91	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck
C83.92	Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes
C83.93	Non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes
C83.94	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb
C83.95	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C83.96	Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes
C83.97	Non-follicular (diffuse) lymphoma, unspecified, spleen
C83.98	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites
C83.99	Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites
C84	Mature T/NK-cell lymphomas
C84.0	Mycosis fungoides
C84.00	Mycosis fungoides, unspecified site
C84.01	Mycosis fungoides, lymph nodes of head, face, and neck
C84.02	Mycosis fungoides, intrathoracic lymph nodes
C84.03	Mycosis fungoides, intra-abdominal lymph nodes
C84.04	Mycosis fungoides, lymph nodes of axilla and upper limb
C84.05	Mycosis fungoides, lymph nodes of inguinal region and lower limb
C84.06	Mycosis fungoides, intrapelvic lymph nodes
C84.07	Mycosis fungoides, spleen
C84.08	Mycosis fungoides, lymph nodes of multiple sites
C84.09	Mycosis fungoides, extranodal and solid organ sites
C84.1	Sézary disease
C84.10	Sézary disease, unspecified site
C84.11	Sézary disease, lymph nodes of head, face, and neck
C84.12	Sézary disease, intrathoracic lymph nodes
C84.13	Sézary disease, intra-abdominal lymph nodes
C84.14	Sézary disease, lymph nodes of axilla and upper limb
C84.15	Sézary disease, lymph nodes of inguinal region and lower limb
C84.16	Sézary disease, intrapelvic lymph nodes
C84.17	Sézary disease, spleen
C84.18	Sézary disease, lymph nodes of multiple sites
C84.19	Sézary disease, extranodal and solid organ sites
C84.4	Peripheral T-cell lymphoma, not classified
C84.40	Peripheral T-cell lymphoma, not classified, unspecified site
C84.41	Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck
C84.42	Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes
C84.43	Peripheral T-cell lymphoma, not classified, intra-abdominal lymph nodes
C84.44	Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb
C84.45	Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb
C84.46	Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes
C84.47	Peripheral T-cell lymphoma, not classified, spleen
C84.48	Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites
C84.49	Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites
C84.6	Anaplastic large cell lymphoma, ALK-positive
C84.60	Anaplastic large cell lymphoma, ALK-positive, unspecified site
C84.61	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck
C84.62	Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes
C84.63	Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes
C84.64	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb
C84.65	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb
C84.66	Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes
C84.67	Anaplastic large cell lymphoma, ALK-positive, spleen
C84.68	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites
C84.69	Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites
C84.7	Anaplastic large cell lymphoma, ALK-negative
C84.70	Anaplastic large cell lymphoma, ALK-negative, unspecified site
C84.71	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck
C84.72	Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes
C84.73	Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes
C84.74	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb
C84.75	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb
C84.76	Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes
C84.77	Anaplastic large cell lymphoma, ALK-negative, spleen
C84.78	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites
C84.79	Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites
C84.A	Cutaneous T-cell lymphoma, unspecified
C84.A0	Cutaneous T-cell lymphoma, unspecified, unspecified site
C84.A1	Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck
C84.A2	Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes
C84.A3	Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes
C84.A4	Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb
C84.A5	Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C84.A6	Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes
C84.A7	Cutaneous T-cell lymphoma, unspecified, spleen
C84.A8	Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites
C84.A9	Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites
C84.Z	Other mature T/NK-cell lymphomas
C84.Z0	Other mature T/NK-cell lymphomas, unspecified site
C84.Z1	Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck
C84.Z2	Other mature T/NK-cell lymphomas, intrathoracic lymph nodes
C84.Z3	Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes
C84.Z4	Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb
C84.Z5	Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb
C84.Z6	Other mature T/NK-cell lymphomas, intrapelvic lymph nodes
C84.Z7	Other mature T/NK-cell lymphomas, spleen
C84.Z8	Other mature T/NK-cell lymphomas, lymph nodes of multiple sites
C84.Z9	Other mature T/NK-cell lymphomas, extranodal and solid organ sites
C84.9	Mature T/NK-cell lymphomas, unspecified
C84.90	Mature T/NK-cell lymphomas, unspecified, unspecified site
C84.91	Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck
C84.92	Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes
C84.93	Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes
C84.94	Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb
C84.95	Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb
C84.96	Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes
C84.97	Mature T/NK-cell lymphomas, unspecified, spleen
C84.98	Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites
C84.99	Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites
C85	Other specified and unspecified types of non-Hodgkin lymphoma
C85.1	Unspecified B-cell lymphoma
C85.10	Unspecified B-cell lymphoma, unspecified site
C85.11	Unspecified B-cell lymphoma, lymph nodes of head, face, and neck
C85.12	Unspecified B-cell lymphoma, intrathoracic lymph nodes
C85.13	Unspecified B-cell lymphoma, intra-abdominal lymph nodes
C85.14	Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb
C85.15	Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb
C85.16	Unspecified B-cell lymphoma, intrapelvic lymph nodes
C85.17	Unspecified B-cell lymphoma, spleen
C85.18	Unspecified B-cell lymphoma, lymph nodes of multiple sites
C85.19	Unspecified B-cell lymphoma, extranodal and solid organ sites
C85.2	Mediastinal (thymic) large B-cell lymphoma
C85.20	Mediastinal (thymic) large B-cell lymphoma, unspecified site
C85.21	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck
C85.22	Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes
C85.23	Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes
C85.24	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb
C85.25	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb
C85.26	Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes
C85.27	Mediastinal (thymic) large B-cell lymphoma, spleen
C85.28	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites
C85.29	Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites
C85.8	Other specified types of non-Hodgkin lymphoma
C85.80	Other specified types of non-Hodgkin lymphoma, unspecified site
C85.81	Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck
C85.82	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes
C85.83	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes
C85.84	Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb
C85.85	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C85.86	Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes
C85.87	Other specified types of non-Hodgkin lymphoma, spleen
C85.88	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites
C85.89	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites
C85.9	Non-Hodgkin lymphoma, unspecified
C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site
C85.91	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
C85.92	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
C85.93	Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
C85.94	Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
C85.95	Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C85.96	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
C85.97	Non-Hodgkin lymphoma, unspecified, spleen
C85.98	Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
C85.99	Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites
C86	Other specified types of T/NK-cell lymphoma
C86.0	Extranodal NK/T-cell lymphoma, nasal type
C86.1	Hepatosplenic T-cell lymphoma
C86.2	Enteropathy-type (intestinal) T-cell lymphoma
C86.3	Subcutaneous panniculitis-like T-cell lymphoma
C86.4	Blastic NK-cell lymphoma
C86.5	Angioimmunoblastic T-cell lymphoma
C86.6	Primary cutaneous CD30-positive T-cell proliferations
C88	Malignant immunoproliferative diseases and certain other B-cell lymphomas
C88.0	Waldenström macroglobulinemia
C88.2	Heavy chain disease
C88.3	Immunoproliferative small intestinal disease
C88.4	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
C88.8	Other malignant immunoproliferative diseases
C88.9	Malignant immunoproliferative disease, unspecified
C90	Multiple myeloma and malignant plasma cell neoplasms
C90.0	Multiple myeloma
C90.00	Multiple myeloma not having achieved remission
C90.01	Multiple myeloma in remission
C90.02	Multiple myeloma in relapse
C90.1	Plasma cell leukemia
C90.10	Plasma cell leukemia not having achieved remission
C90.11	Plasma cell leukemia in remission
C90.12	Plasma cell leukemia in relapse
C90.2	Extramedullary plasmacytoma
C90.20	Extramedullary plasmacytoma not having achieved remission
C90.21	Extramedullary plasmacytoma in remission
C90.22	Extramedullary plasmacytoma in relapse
C90.3	Solitary plasmacytoma
C90.30	Solitary plasmacytoma not having achieved remission
C90.31	Solitary plasmacytoma in remission
C90.32	Solitary plasmacytoma in relapse
C91	Lymphoid leukemia
C91.0	Acute lymphoblastic leukemia [ALL]
C91.00	Acute lymphoblastic leukemia not having achieved remission
C91.01	Acute lymphoblastic leukemia, in remission
C91.02	Acute lymphoblastic leukemia, in relapse
C91.1	Chronic lymphocytic leukemia of B-cell type
C91.10	Chronic lymphocytic leukemia of B-cell type not having achieved remission
C91.11	Chronic lymphocytic leukemia of B-cell type in remission
C91.12	Chronic lymphocytic leukemia of B-cell type in relapse
C91.3	Prolymphocytic leukemia of B-cell type
C91.30	Prolymphocytic leukemia of B-cell type not having achieved remission
C91.31	Prolymphocytic leukemia of B-cell type, in remission
C91.32	Prolymphocytic leukemia of B-cell type, in relapse
C91.4	Hairy cell leukemia
C91.40	Hairy cell leukemia not having achieved remission
C91.41	Hairy cell leukemia, in remission
C91.42	Hairy cell leukemia, in relapse
C91.5	Adult T-cell lymphoma/leukemia (HTLV-1-associated)
C91.50	Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission
C91.51	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission
C91.52	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse
C91.6	Prolymphocytic leukemia of T-cell type
C91.60	Prolymphocytic leukemia of T-cell type not having achieved remission
C91.61	Prolymphocytic leukemia of T-cell type, in remission
C91.62	Prolymphocytic leukemia of T-cell type, in relapse
C91.A	Mature B-cell leukemia Burkitt-type
C91.A0	Mature B-cell leukemia Burkitt-type not having achieved remission
C91.A1	Mature B-cell leukemia Burkitt-type, in remission
C91.A2	Mature B-cell leukemia Burkitt-type, in relapse
